80,G8,FALSE,29-06,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,Y,74.583,,,
81,G9,FALSE,28-18,Mcav,UNKNOWN,SYBR,None,22.607,23.112,0.715,,,,,,,,FALSE,0.020,TRUE,3,20,Amp,,0.739,Y,N,Y,N,75.025,,,
82,G10,FALSE,28-18,C,UNKNOWN,VIC,NFQ-MGB,27.582,28.009,0.604,,,,,,,,FALSE,0.020,TRUE,3,25,Amp,,0.930,N,N,Y,N,0.000,,,
82,G10,FALSE,28-18,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,Y,82.242,,,
83,G11,FALSE,28-18,Mcav,UNKNOWN,SYBR,None,23.618,23.112,0.715,,,,,,,,FALSE,0.020,TRUE,3,22,Amp,,0.948,N,N,Y,N,75.025,,,
84,G12,FALSE,28-18,C,UNKNOWN,VIC,NFQ-MGB,28.436,28.009,0.604,,,,,,,,FALSE,0.020,TRUE,3,26,Amp,,0.924,N,N,Y,N,0.000,,,
84,G12,FALSE,28-18,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,Y,72.373,,,
85,H1,FALSE,NTC,Mcav,UNKNOWN,SYBR,None,33.522,33.522,,,,,,,,,FALSE,0.020,TRUE,3,32,Amp,,0.972,N,N,N,N,74.583,,,
86,H2,FALSE,+,C,UNKNOWN,VIC,NFQ-MGB,16.171,16.062,0.154,,,,,,,,FALSE,0.020,TRUE,3,14,Amp,,0.888,N,N,N,N,0.000,,,
86,H2,FALSE,+,D,UNKNOWN,FAM,NFQ-MGB,9.761,9.549,0.300,,,,,,,,FALSE,0.020,TRUE,3,8,Amp,,0.566,Y,N,N,N,81.358,,,
87,H3,FALSE,25-07,Mcav,UNKNOWN,SYBR,None,24.273,24.036,0.334,,,,,,,,FALSE,0.020,TRUE,3,22,Amp,,0.802,N,N,N,N,75.025,,,
88,H4,FALSE,25-07,C,UNKNOWN,VIC,NFQ-MGB,26.189,26.131,0.081,,,,,,,,FALSE,0.020,TRUE,3,24,Amp,,0.929,N,N,N,N,0.000,,,
88,H4,FALSE,25-07,D,UNKNOWN,FAM,NFQ-MGB,35.827,35.827,,,,,,,,,FALSE,0.020,TRUE,3,34,Amp,,0.627,Y,N,N,N,74.141,,,
89,H5,FALSE,25-07,Mcav,UNKNOWN,SYBR,None,23.800,24.036,0.334,,,,,,,,FALSE,0.020,TRUE,3,21,Amp,,0.679,Y,N,N,N,74.877,,,
90,H6,FALSE,25-07,C,UNKNOWN,VIC,NFQ-MGB,26.073,26.131,0.081,,,,,,,,FALSE,0.020,TRUE,3,24,Amp,,0.931,N,N,N,N,0.000,,,
90,H6,FALSE,25-07,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,35.827,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,Y,80.916,,,
91,H7,FALSE,21-08,Mcav,UNKNOWN,SYBR,None,23.062,23.498,0.615,,,,,,,,FALSE,0.020,TRUE,3,21,Amp,,0.638,Y,N,Y,N,75.172,,,
92,H8,FALSE,21-08,C,UNKNOWN,VIC,NFQ-MGB,27.371,27.215,0.221,,,,,,,,FALSE,0.020,TRUE,3,25,Amp,,0.929,N,N,N,N,0.000,,,
92,H8,FALSE,21-08,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,Y,82.242,,,
93,H9,FALSE,21-08,Mcav,UNKNOWN,SYBR,None,23.933,23.498,0.615,,,,,,,,FALSE,0.020,TRUE,3,22,Amp,,0.840,N,N,Y,N,74.877,,,
94,H10,FALSE,21-08,C,UNKNOWN,VIC,NFQ-MGB,27.059,27.215,0.221,,,,,,,,FALSE,0.020,TRUE,3,25,Amp,,0.922,N,N,N,N,0.000,,,
94,H10,FALSE,21-08,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,18,No Amp,,0.000,Y,N,N,N,75.761,,,
95,H11,FALSE,+,Mcav,UNKNOWN,SYBR,None,14.684,14.220,0.656,,,,,,,,FALSE,0.020,TRUE,3,13,Amp,,0.518,Y,N,Y,N,75.025,,,
96,H12,FALSE,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,Y,0.000,,,
96,H12,FALSE,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,Y,76.056,,,
